Base_Term,Skill_Term,City,radius,indeed_url,new_jobs_count
Data Scientist,Big Data,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=Big Data+Data Scientist&l=Los Angeles,CA&radius=25",0
Data Analytics,Big Data,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=Big Data+Data Analytics&l=Los Angeles,CA&radius=25",0
Data Scientist,BUGS,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=BUGS+Data Scientist&l=Los Angeles,CA&radius=25",3
Data Analytics,BUGS,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=BUGS+Data Analytics&l=Los Angeles,CA&radius=25",0
Data Scientist,C,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=C+Data Scientist&l=Los Angeles,CA&radius=25",0
Data Analytics,C,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=C+Data Analytics&l=Los Angeles,CA&radius=25",0
Data Scientist,calculus,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=calculus+Data Scientist&l=Los Angeles,CA&radius=25",1
Data Analytics,calculus,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=calculus+Data Analytics&l=Los Angeles,CA&radius=25",1
Data Scientist,cloud tech,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=cloud tech+Data Scientist&l=Los Angeles,CA&radius=25",0
Data Analytics,cloud tech,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=cloud tech+Data Analytics&l=Los Angeles,CA&radius=25",0
Data Scientist,clustering,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=clustering+Data Scientist&l=Los Angeles,CA&radius=25",0
Data Analytics,clustering,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=clustering+Data Analytics&l=Los Angeles,CA&radius=25",0
Data Scientist,continuous Simulation,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=continuous Simulation+Data Scientist&l=Los Angeles,CA&radius=25",2
Data Analytics,continuous Simulation,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=continuous Simulation+Data Analytics&l=Los Angeles,CA&radius=25",2
Data Scientist,convex Optimization,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=convex Optimization+Data Scientist&l=Los Angeles,CA&radius=25",0
Data Analytics,convex Optimization,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=convex Optimization+Data Analytics&l=Los Angeles,CA&radius=25",0
Data Scientist,CSS,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=CSS+Data Scientist&l=Los Angeles,CA&radius=25",9
Data Analytics,CSS,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=CSS+Data Analytics&l=Los Angeles,CA&radius=25",0
Data Scientist,DBA,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=DBA+Data Scientist&l=Los Angeles,CA&radius=25",0
Data Analytics,DBA,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=DBA+Data Analytics&l=Los Angeles,CA&radius=25",0
Data Scientist,decision trees,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=decision trees+Data Scientist&l=Los Angeles,CA&radius=25",0
Data Analytics,decision trees,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=decision trees+Data Analytics&l=Los Angeles,CA&radius=25",0
Data Scientist,design,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=design+Data Scientist&l=Los Angeles,CA&radius=25",0
Data Analytics,design,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=design+Data Analytics&l=Los Angeles,CA&radius=25",0
Data Scientist,discrete Simulation,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=discrete Simulation+Data Scientist&l=Los Angeles,CA&radius=25",1
Data Analytics,discrete Simulation,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=discrete Simulation+Data Analytics&l=Los Angeles,CA&radius=25",1
Data Scientist,Distributed Data,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=Distributed Data+Data Scientist&l=Los Angeles,CA&radius=25",0
Data Analytics,Distributed Data,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=Distributed Data+Data Analytics&l=Los Angeles,CA&radius=25",0
Data Scientist,experimental design,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=experimental design+Data Scientist&l=Los Angeles,CA&radius=25",0
Data Analytics,experimental design,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=experimental design+Data Analytics&l=Los Angeles,CA&radius=25",5
Data Scientist,forecasting,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=forecasting+Data Scientist&l=Los Angeles,CA&radius=25",0
Data Analytics,forecasting,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=forecasting+Data Analytics&l=Los Angeles,CA&radius=25",0
Data Scientist,general linear model,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=general linear model+Data Scientist&l=Los Angeles,CA&radius=25",0
Data Analytics,general linear model,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=general linear model+Data Analytics&l=Los Angeles,CA&radius=25",3
Data Scientist,geographic covariates,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=geographic covariates+Data Scientist&l=Los Angeles,CA&radius=25",0
